abseil-cpp 20250127.1-1
acl 2.3.2-1
adwaita-cursors 48.0-1
adwaita-fonts 48.2-1
adwaita-icon-theme 48.0-1
adwaita-icon-theme-legacy 46.2-3
alembic 1.8.6-3
alsa-card-profiles 1:1.4.2-1
alsa-lib 1.2.14-1
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.14-1
aom 3.12.1-1
appstream 1.0.5-1
aquamarine 0.8.0-3
archlinux-keyring 20250123-1
arduino-cli 1.1.1-1
arduino-fwuploader 2.4.1-2
arduino-ide 2.3.4-1
at-spi2-core 2.56.1-1
attr 2.5.2-1
audit 4.0.3-1
autoconf 2.72-1
automake 1.17-1
avahi 1:0.8+r194+g3f79789-3
ayatana-ido 0.10.4-1
base 3-2
base-devel 1-2
bash 5.2.037-2
binutils 2.44-1
bison 3.8.2-8
blas 3.12.1-2
blender 17:4.4.1-1
blosc 1.21.6-1
blueprint-compiler 0.16.0-1
bluez-libs 5.82-1
boost-libs 1.87.0-3
brightnessctl 0.5.1-3
brotli 1.1.0-3
btrfs-progs 6.14-1
bubblewrap 0.11.0-1
bzip2 1.0.8-6
c-ares 1.34.5-1
ca-certificates 20240618-1
ca-certificates-mozilla 3.110-1
ca-certificates-utils 20240618-1
cairo 1.18.4-1
cantarell-fonts 1:0.303.1-2
cblas 3.12.1-2
clang 19.1.7-1
compiler-rt 19.1.7-1
coreutils 9.7-1
cryptsetup 2.7.5-2
cuda 12.8.1-2
curl 8.13.0-2
dart-sass 1.86.3-1
dav1d 1.5.1-1
db5.3 5.3.28-5
dbus 1.16.2-1
dbus-broker 36-4
dbus-broker-units 36-4
dbus-units 36-4
dconf 0.40.0-3
debugedit 5.1-1
default-cursors 3-1
desktop-file-utils 0.28-1
device-mapper 2.03.31-1
diffutils 3.12-1
dos2unix 7.5.2-2
dosfstools 4.2-5
double-conversion 3.3.1-1
draco 1.5.6-3
duktape 2.7.0-7
e2fsprogs 1.47.2-2
efibootmgr 18-3
efivar 39-1
egl-gbm 1.1.2.1-1
egl-wayland 4:1.1.19-1
egl-x11 1.0.1-1
eglexternalplatform 1.2.1-1
electron27 27.3.11-9
electron34 34.5.0-2
ell 0.76-1
embree 4.4.0-1
exempi 2.6.6-1
exiv2 0.28.5-1
expat 2.7.1-1
fakeroot 1.37.1.1-1
fd 10.2.0-1
ffmpeg 2:7.1-10
fftw 3.3.10-7
file 5.46-4
filesystem 2024.11.21-1
findutils 4.10.0-2
firefox 137.0.2-1
flac 1.5.0-1
flex 2.6.4-5
fmt 11.1.4-1
fontconfig 2:2.16.2-1
freeglut 3.6.0-1
freetype2 2.13.3-3
fribidi 1.0.16-1
fuse-common 3.17.1-1
fuse2 2.9.9-5
fuse3 3.17.1-1
fzf 0.61.2-1
gawk 5.3.2-1
gc 8.2.8-2
gcc 14.2.1+r753+g1cd744a6828f-1
gcc-libs 14.2.1+r753+g1cd744a6828f-1
gcc13 13.3.1+r432+gfc8bd63119c0-1
gcc13-libs 13.3.1+r432+gfc8bd63119c0-1
gcr-4 4.4.0.1-1
gdbm 1.25-1
gdk-pixbuf2 2.42.12-2
gettext 0.24-1
giflib 5.2.2-2
git 2.49.0-1
gjs 2:1.84.2-1
glew 2.2.0-7
glfw 3.4-2
glib-networking 1:2.80.1-1
glib2 2.84.1-1
glib2-devel 2.84.1-1
glibc 2.41+r47+g046b33800c3e-1
glslang 15.2.0-2
glu 9.0.3-2
gmp 6.3.0-2
gnome-autoar 0.4.5-1
gnome-desktop 1:44.1-1
gnome-desktop-4 1:44.1-1
gnome-desktop-common 1:44.1-1
gnome-themes-extra 3.28+r6+g45b1d457-2
gnu-free-fonts 20120503-8
gnulib-l10n 20241231-1
gnupg 2.4.7-1
gnutls 3.8.9-1
gobject-introspection 1.84.0-1
gobject-introspection-runtime 1.84.0-1
gperftools 2.16-1
gpgme 1.24.2-1
graphene 1.10.8-2
graphite 1:1.3.14-4
grep 3.12-2
grim 1.4.1-3
groff 1.23.0-7
gsettings-desktop-schemas 48.0-1
gsettings-system-schemas 48.0-1
gsm 1.0.22-2
gssdp 1.6.3-2
gst-plugin-pipewire 1:1.4.2-1
gst-plugins-bad-libs 1.26.0-4
gst-plugins-base-libs 1.26.0-4
gstreamer 1.26.0-4
gtest 1.16.0-2
gtk-layer-shell 0.9.1-1
gtk-update-icon-cache 1:4.18.4-1
gtk3 1:3.24.49-1
gtk4 1:4.18.4-1
gtk4-layer-shell 1.1.1-1
guile 3.0.10-1
gupnp 1:1.6.8-1
gupnp-dlna 0.12.0-3
gupnp-igd 1.6.0-1
gvfs 1.57.2-2
gzip 1.14-1
harfbuzz 11.1.0-1
hdf5 1.14.6-3
hicolor-icon-theme 0.18-1
hidapi 0.14.0-3
highway 1.2.0-1
hwdata 0.394-1
hwloc 2.12.0-1
hyprcursor 0.1.12-2
hyprgraphics 0.1.3-3
hyprland 0.48.1-4
hyprland-qt-support 0.1.0-5
hyprland-qtutils 0.1.3-6
hyprlang 0.6.1-1
hyprpaper 0.7.4-6
hyprpicker 0.4.4-1
hyprutils 0.6.0-1
hyprwayland-scanner 0.4.4-1
iana-etc 20250328-1
icu 76.1-1
imath 3.1.12-3
iniparser 4.2.6-1
intel-oneapi-common 2024.1.0-1
intel-oneapi-compiler-dpcpp-cpp-runtime-libs 2025.0.4-1
intel-oneapi-compiler-shared-runtime-libs 2025.0.4-2
intel-oneapi-openmp 2025.0.4-1
intel-oneapi-tbb 2021.12.0-2
intel-oneapi-tcm 1.2.0-3
intel-ucode 20250211-1
iproute2 6.14.0-1
iptables 1:1.8.11-2
iputils 20240905-1
iso-codes 4.18.0-1
iwd 3.6-1
jansson 2.14.1-1
jasper 4.2.5-1
jbigkit 2.1-8
jemalloc 1:5.3.0-5
jq 1.7.1-2
js128 128.9.0-1
json-c 0.18-1
json-glib 1.10.6-1
jsoncpp 1.9.6-3
kbd 2.7.1-2
keyutils 1.6.3-3
kitty 0.41.1-1
kitty-shell-integration 0.41.1-1
kitty-terminfo 0.41.1-1
kmod 34.2-1
krb5 1.21.3-1
l-smash 2.14.5-4
lame 3.100-5
lapack 3.12.1-2
lcms2 2.17-1
leancrypto 1.3.0-1
less 1:668-1
level-zero-loader 1.21.9-1
lib32-brotli 1.1.0-1
lib32-bzip2 1.0.8-4
lib32-curl 8.13.0-1
lib32-e2fsprogs 1.47.2-1
